Lat,Long
39.1178,106.4454
39.1178,106.4454
38.9244,106.3207
37.5775,105.4856
39.0294,106.4729
38.0717,107.4621
37.9669,105.5855
39.3515,106.1116
39.0097,106.8614
39.6339,105.8176
38.6741,106.2462
39.5883,105.6438
40.255,105.6151
37.8391,107.9916
38.7492,106.2424
38.8442,106.3138
39.0708,106.989
38.0038,107.7923
39.1503,107.0829
38.8405,105.0442
37.6212,107.5919
37.913,107.5044
37.1224,105.1858
37.9868,106.9313
39.4668,106.4817
39.0425,106.5976
38.4227,106.2247
37.7993,107.8285
39.3394,106.0054
37.6797,107.3924
43.1842,109.6542
43.7412,110.8024
39.4448,105.9705
37.607,107.4936
39.4853,106.5367
39.7204,105.8044
37.3756,104.9934
39.7601,106.3407
40.4845,105.6464
37.8573,107.623
39.0244,107.1228
40.7763,110.3729
40.0265,105.6504
39.8381,105.7132
39.1806,106.6102
37.7859,107.7038
37.8492,105.4949
38.9917,106.1249
37.3506,106.6968
37.8536,108.1082
38.325,106.218
38.6856,106.6211
37.4451,108.089
39.4549,106.197
37.4833,106.4343
42.7085,109.1284
37.2887,106.5709
44.3821,107.1739
36.5569,105.4169
43.9613,109.3392
37.663,107.727
37.5741,106.9815
38.3412,105.8892
35.9625,105.645
38.7179,107.1994
37.6062,107.2446
53.1105,119.1566
40.6068,105.93
40.4695,105.8945
42.7901,109.1978
45.1634,109.8075
36.7917,105.4933
39.0581,107.2822
38.8121,107.3826
37.3934,104.9201
44.1374,113.7811
45.2749,109.8078
35.8322,105.7581
38.9562,107.0107
45.0989,109.6305
37.888,108.2556
43.835,110.7765
36.8335,105.2229
37.4972,107.3761
38.8223,106.9799
42.6165,109.0013
40.4449,105.8081
36.6299,105.2134
38.8464,107.2233
39.3681,105.605
39.2384,105.4978
38.8145,107.1445
38.834,106.6451
40.0147,107.0833
42.6418,109.0939
37.8815,105.0133
37.7344,108.058
44.1972,109.4112
40.3303,106.1363
37.3811,106.492
